Ticker,Sector,P/E,FreeCashFlow,SharpeRatio,FreeCashFlow_Pos,FreeCashFlow_Log,P/E_Pos,FreeCashFlow_Score,P/E_Score_raw,P/E_Score,SharpeRatio_Score,FinalScore,Rank
NVDA,Information Technology,50.16949,52436750336.0,1.153835237752226,52436750336.0,24.68287352475698,50.16949,0.9248901642330096,0.0989285812439012,0.9010714187560988,0.6100535978868623,0.8232935706860921,1
AAPL,Information Technology,37.31003,94873747456.0,0.5630856139783543,94873747456.0,25.2758128705408,37.31003,1.0,0.0706145646274905,0.9293854353725096,0.4424879364758092,0.8115620115544957,2
MSFT,Information Technology,38.027164,61070376960.0,0.5660521857154955,61070376960.0,24.83529275676761,38.027164,0.9441976761487784,0.0721935534802256,0.9278064465197744,0.4433294021919984,0.789019825073043,3
GOOG,Communication Services,27.24013,49786499072.0,0.5649018688953235,49786499072.0,24.631009681270164,27.24013,0.9183203779736911,0.0484426137115427,0.9515573862884572,0.4430031157399259,0.7856963017979913,4
GOOGL,Communication Services,27.184631,49786499072.0,0.5620045792258231,49786499072.0,24.631009681270164,27.184631,0.9183203779736911,0.048320415764802,0.951679584235198,0.4421813018271758,0.7854864170081886,5
PGR,Financials,13.660654,13717175296.0,1.1275139270894603,13717175296.0,23.34191455590465,13.660654,0.7550258962653837,0.0185432626418904,0.9814567373581096,0.6025875790306229,0.7772236534227732,6
AVGO,Information Technology,88.44615,23096750080.0,1.3745753117626645,23096750080.0,23.86295775544232,88.44615,0.8210283793575575,0.1832063026459432,0.8167936973540568,0.6726663444937776,0.7752493642973732,7
BRK-B,Unknown,16.889994,28266250240.0,0.6963329779341143,28266250240.0,24.064934358927548,16.889994,0.8466135081307142,0.0256536379158164,0.9743463620841836,0.4802834453919061,0.7750343454951126,8
META,Communication Services,28.253359,31991250944.0,0.6955183887784219,31991250944.0,24.18872829439461,28.253359,0.8622949470974426,0.0506735458612775,0.9493264541387224,0.4800523878251151,0.7737316314281283,9
XOM,Energy,16.025568,20748249088.0,0.7241074978655129,20748249088.0,23.755727698809807,16.025568,0.8074451486270919,0.0237503408778648,0.9762496591221352,0.4881616659025649,0.7623014569582468,10
TRV,Financials,12.256637,15664374784.0,0.7748406858570833,15664374784.0,23.474654848967734,12.256637,0.7718406036760561,0.015451891723693,0.9845481082763068,0.5025520943669813,0.754866302263409,11
IBM,Information Technology,42.89855,13859999744.0,1.020612837382433,13859999744.0,23.3522728123099,42.89855,0.756338015191143,0.0829193929905122,0.9170806070094876,0.5722651698720905,0.7493389391409306,12
MCK,Health Care,27.9324,5157624832.0,1.3989158782168407,5157624832.0,22.36374200678545,27.9324,0.6311171355488894,0.0499668568977296,0.9500331431022704,0.6795705268290253,0.7413279551989445,13
T,Communication Services,16.577143,12400000000.0,0.7467072399434238,12400000000.0,23.240962309638046,16.577143,0.7422378991602663,0.0249648011829784,0.9750351988170216,0.4945720647866341,0.7377773387452031,14
AMZN,Consumer Discretionary,35.340458,31024001024.0,0.3453632386592146,31024001024.0,24.158026968485643,35.340458,0.8584058957749952,0.0662779521775729,0.9337220478224272,0.3807311577050077,0.7376983199682285,15
V,Financials,33.327805,18054000640.0,0.6498579856691246,18054000640.0,23.61663313932697,33.327805,0.7898255226179138,0.061846483788926,0.938153516211074,0.4671008507620404,0.7375065191390998,16
GEV,Industrials,151.49757,3577999872.0,2.5285840281694707,3577999872.0,21.99806978653825,151.49757,0.5847960731963636,0.3220332015645828,0.6779667984354172,1.0,0.7373084688091707,17
ACGL,Financials,9.141675,8082999808.0,0.8724295690952705,8082999808.0,22.81302890406828,9.141675,0.6880299805255786,0.0085933544423851,0.9914066455576148,0.5302331035595192,0.7317039169453716,18
MA,Financials,39.36388,15459624960.0,0.7005786737506738,15459624960.0,23.461497621143916,39.36388,0.7701739286138876,0.0751367407552296,0.9248632592447704,0.481487733636911,0.7299748693100594,19
NFLX,Communication Services,52.345135,22694656000.0,0.5349978670391393,22694656000.0,23.845395315260344,52.345135,0.818803679635545,0.1037189261480738,0.8962810738519262,0.4345208693732537,0.726762054821772,20
CB,Financials,12.092275,12818124800.0,0.5142591080522616,12818124800.0,23.27412600636738,12.092275,0.7464388681674311,0.0150899987360321,0.984910001263968,0.4286383368643362,0.7226400487054636,21
WMT,Consumer Staples,38.615093,8344999936.0,0.9745702787973548,8344999936.0,22.84492838651078,38.615093,0.6920708067995393,0.0734880581853431,0.9265119418146568,0.5592052347119473,0.722543475677797,22
CVX,Energy,20.130156,14433874944.0,0.4965715925511681,14433874944.0,23.392843707640434,20.130156,0.7614772816386547,0.0327878411178064,0.9672121588821936,0.4236212871458357,0.7218409464638706,23
